,Year_Month,HMV,LMV,MSL
1,Jan-60,NA,NA,NA
2,Feb-60,140,8,70.2
3,Mar-60,0,NA,NA
4,Apr-60,NA,NA,NA
5,May-60,139,0,72.7
6,Jun-60,146,6,NA
7,Jul-60,157,3,NA
8,Aug-60,168,-2,NA
9,Sep-60,149,-4,NA
10,Oct-60,149,-1,NA
11,Nov-60,147,-3,NA
12,Dec-60,134,-16,NA
13,Jan-61,145,-10,61.8
14,Feb-61,138,-23,63.9
15,Mar-61,149,-15,63.4
16,Apr-61,146,-5,67.1
17,May-61,155,1,73.4
18,Jun-61,153,4,79.5
19,Jul-61,156,-1,76.5
20,Aug-61,160,3,79
21,Sep-61,149,-15,74.8
22,Oct-61,146,-10,71.2
23,Nov-61,144,-11,63.8
24,Dec-61,127,-7,58.9
25,Jan-62,133,-16,58.5
26,Feb-62,131,-29,49.6
27,Mar-62,138,-40,49
28,Apr-62,131,-36,51.5
29,May-62,139,-16,57.7
30,Jun-62,146,-6,68.8
31,Jul-62,148,8,73
32,Aug-62,144,-9,73
33,Sep-62,154,-2,74.7
34,Oct-62,148,-18,68.2
35,Nov-62,142,-9,65.9
36,Dec-62,137,-11,60.8
37,Jan-63,127,-12,57.3
38,Feb-63,143,-17,51.4
39,Mar-63,145,-24,56.7
40,Apr-63,139,-24,54.3
41,May-63,140,-10,60
42,Jun-63,145,14,71.6
43,Jul-63,142,7,69.8
44,Aug-63,150,7,76.2
45,Sep-63,140,-11,73.3
46,Oct-63,136,-22,62.6
47,Nov-63,140,-17,59.7
48,Dec-63,134,-26,55.6
49,Jan-64,137,-9,58.4
50,Feb-64,125,-21,52.3
51,Mar-64,142,-17,52.6
52,Apr-64,131,-26,54
53,May-64,143,-7,67.2
54,Jun-64,149,3,70.2
55,Jul-64,150,0,67.3
56,Aug-64,167,-3,78
57,Sep-64,151,7,81.1
58,Oct-64,144,-10,68.6
59,Nov-64,144,-9,64
60,Dec-64,144,-3,60.9
61,Jan-65,133,-14,58.9
62,Feb-65,141,-21,54.4
63,Mar-65,140,-19,58.7
64,Apr-65,134,-27,50.8
65,May-65,140,-16,59.5
66,Jun-65,147,2,69.2
67,Jul-65,147,2,69.7
68,Aug-65,137,-12,67.6
69,Sep-65,137,-16,70.8
70,Oct-65,129,-14,61.5
71,Nov-65,137,-3,64.6
72,Dec-65,133,-7,55.1
73,Jan-66,135,-14,48.1
74,Feb-66,125,-34,49.4
75,Mar-66,138,-34,58.9
76,Apr-66,134,-23,62.7
77,May-66,133,-14,61.6
78,Jun-66,134,-2,61.6
79,Jul-66,128,-6,63.8
80,Aug-66,156,10,81.7
81,Sep-66,147,-16,77
82,Oct-66,158,-6,65.6
83,Nov-66,132,-20,45.1
84,Dec-66,126,-8,53.6
85,Jan-67,142,-21,47.8
86,Feb-67,131,-41,47.5
87,Mar-67,136,-29,48.2
88,Apr-67,131,-25,51.2
89,May-67,137,-3,61.4
90,Jun-67,139,16,71.7
91,Jul-67,142,15,75.7
92,Aug-67,144,3,71.4
93,Sep-67,153,0,84.6
94,Oct-67,159,-4,74.8
95,Nov-67,145,-9,64.3
96,Dec-67,136,-6,59.1
97,Jan-68,126,-18,52.1
98,Feb-68,130,-41,44.2
99,Mar-68,129,-39,43.2
100,Apr-68,122,-38,49.3
101,May-68,141,-19,58.5
102,Jun-68,140,3,60.3
103,Jul-68,153,9,69.8
104,Aug-68,146,8,75.5
105,Sep-68,149,-9,74.9
106,Oct-68,143,-14,66.5
107,Nov-68,133,-19,55.8
108,Dec-68,139,-7,60.4
109,Jan-69,135,-13,57.7
110,Feb-69,130,-24,51.1
111,Mar-69,133,-26,52.6
112,Apr-69,126,-26,56.2
113,May-69,137,-11,68.7
114,Jun-69,147,5,73.2
115,Jul-69,151,6,71.6
116,Aug-69,142,-12,68
117,Sep-69,140,-4,69.3
118,Oct-69,140,-10,66.4
119,Nov-69,133,-11,56.9
120,Dec-69,123,-9,50.2
121,Jan-70,128,-22,52.6
122,Feb-70,138,-29,55.3
123,Mar-70,140,-21,51.7
124,Apr-70,127,-30,50.4
125,May-70,132,-8,60.8
126,Jun-70,137,8,66.3
127,Jul-70,144,-5,70
128,Aug-70,153,0,72.2
129,Sep-70,153,-8,73.2
130,Oct-70,145,-9,67
131,Nov-70,130,-14,60.7
132,Dec-70,127,-17,54.9
133,Jan-71,131,-22,56.4
134,Feb-71,137,-31,52.5
135,Mar-71,134,-34,49
136,Apr-71,135,-23,50.4
