YEAR,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1961,61.8,63.9,63.4,67.1,73.4,79.5,76.5,79,74.8,71.2,63.8,58.9
1962,58.5,49.6,49,51.5,57.7,68.8,73,73,74.7,68.2,65.9,60.8
1963,57.3,51.4,56.7,54.3,60,71.6,69.8,76.2,73.3,62.6,59.7,55.6
1964,58.4,52.3,52.6,54,67.2,70.2,67.3,78,81.1,68.6,64,60.9
1965,58.9,54.4,58.7,50.8,59.5,69.2,69.7,67.6,70.8,61.5,64.6,55.1
1966,48.1,49.4,58.9,62.7,61.6,61.6,63.8,81.7,77,65.6,45.1,53.6
1967,47.8,47.5,48.2,51.2,61.4,71.7,75.7,71.4,84.6,74.8,64.3,59.1
1968,52.1,44.2,43.2,49.3,58.5,60.3,69.8,75.5,74.9,66.5,55.8,60.4
1969,57.7,51.1,52.6,56.2,68.7,73.2,71.6,68,69.3,66.4,56.9,50.2
1970,52.6,55.3,51.7,50.4,60.8,66.3,70,72.2,73.2,67,60.7,54.9
1971,56.4,52.5,49,50.4,60.9,67.3,69.2,77.2,83.7,65.5,54.2,43.1
1972,55.6,58.6,55.7,53.6,61.6,66.7,76.5,71.7,75.7,63.1,,
1973,56.1,58.5,57,61.2,63.2,69.5,74,72.5,73.3,69.2,61.2,55.1
1974,64.5,60.3,52.5,58.4,66.5,75,78.7,78.4,73.2,64.7,56.8,60.5
1975,60.3,57.5,56.7,59.4,65.2,74.9,72.9,84.2,83.8,75.2,72.3,62.7
1976,56,61.4,56,62,66.7,76.1,80.4,71.3,84.5,72.4,62.1,60.4
1977,54.7,53,50.3,55.5,60.8,74.7,72,81.2,78.7,69.4,62,62.5
1978,58.3,56.9,59.4,60,62.4,68.4,72.5,74.5,72.9,69.6,60.4,55.5
1979,50.8,55.6,59.6,58.4,67.2,70.6,77.5,72.8,74.7,73.5,57,55.3
1980,57.2,43.4,49.6,52,59.3,61.6,69.8,78,74.8,65.8,58.3,61.5
1981,55.2,55.3,53.1,57.5,58.6,67,67.2,74.2,74.8,66.5,59.2,55.1
1982,51.8,50.8,52,59.3,63.9,67.2,69.6,74.9,75.5,67.8,56.3,51
1983,50.6,52.9,58.2,58.5,62.9,74,74.3,77.4,81.3,67.3,57.5,56
1984,55.5,53.2,53,56.6,63.6,72.4,74,74.8,70.3,69.7,64.3,59.9
1985,52.9,57.8,51,57.1,63.9,75.2,77.9,75.4,71,70.7,65.6,54.4
1986,52.7,54.7,62,60.4,62.7,70.5,75.8,80.3,77.2,69.9,58.8,67.8
