"Year","datetime","wave_height","peak_period"
1996,"1996-12-22 06:00:00.0","3.10","7.00"
1997,"1997-01-01 12:00:00.0","3.60","8.00"
1998,"1998-10-01 00:00:00.0","1.60","4.00"
1999,"1999-11-25 05:00:00.0","2.70","7.00"
2000,"2000-08-31 21:00:00.0","3.60","6.00"
2001,"2001-03-04 18:00:00.0","2.90","7.00"
2002,"2002-03-22 18:00:00.0","2.70","6.00"
2003,"2003-01-27 23:00:00.0","2.90","6.00"
2004,"2004-01-12 20:00:00.0","3.60","8.00"
2005,"2005-01-30 05:00:00.0","2.70","5.00"
2006,"2006-04-20 07:00:00.0","3.30","6.00"
2007,"2007-03-05 06:00:00.0","3.60","9.00"
2008,"2008-11-29 17:00:00.0","2.70","6.40"
2009,"2009-12-05 10:00:00.0","3.20","8.00"
2010,"2010-09-02 07:00:00.0","3.80","6.40"
2011,"2011-08-08 11:00:00.0","3.90","10.70"
2012,"2012-08-28 16:00:00.0","4.60","10.70"
2013,"2013-11-25 07:00:00.0","3.50","7.80"
2014,"2014-12-01 14:00:00.0","3.00","7.10"
2015,"2015-12-03 19:00:00.0","3.40","5.80"
2016,"2016-05-04 03:00:00.0","3.80","10.70"
2017,"2017-10-29 19:00:00.0","2.70","6.40"
2018,"2018-01-09 01:00:00.0","3.10","9.10"
2019,"2019-03-30 20:00:00.0","3.10","7.10"
2020,"2020-08-27 06:30:00.0","3.10","5.80"
2021,"2021-01-06 23:00:00.0","3.20","6.30"
2022,"2022-12-13 19:30:00.0","3.50","8.00"
2023,"2023-11-06 23:30:00.0","3.30","9.10"
2024,"2024-11-27 06:00:00.0","3.30","9.80"
