"Year","datetime","wave_height","peak_period"
1996,1996-11-17 14:00:00,"2.50","7.00"
1996,1996-11-20 17:00:00,"2.10","5.00"
1996,1996-11-26 20:00:00,"2.40","5.00"
1996,1996-12-05 03:00:00,"2.00","5.00"
1996,1996-12-22 06:00:00,"3.10","7.00"
1997,1997-01-01 12:00:00,"3.60","8.00"
1997,1997-01-05 11:00:00,"2.20","5.00"
1997,1997-01-21 04:00:00,"2.50","5.00"
1997,1997-02-10 21:00:00,"2.60","6.00"
1997,1997-02-15 18:00:00,"2.50","5.00"
1998,1998-09-21 06:00:00,"1.20","5.00"
1998,1998-09-23 12:00:00,"0.60","3.00"
1998,1998-10-01,"1.60","4.00"
1998,1998-10-02 20:00:00,"1.10","4.00"
1998,1998-10-04 10:00:00,"0.50","3.00"
1999,1999-01-07 06:00:00,"2.20","5.00"
1999,1999-02-03 03:00:00,"2.30","5.00"
1999,1999-03-05 15:00:00,"2.30","5.00"
1999,1999-11-25 05:00:00,"2.70","7.00"
1999,1999-12-08 22:00:00,"2.40","7.00"
2000,2000-01-30 07:00:00,"2.40","7.00"
2000,2000-04-10 10:00:00,"2.40","7.00"
2000,2000-07-11 12:00:00,"2.40","9.00"
2000,2000-08-31 21:00:00,"3.60","6.00"
2000,2000-09-16 07:00:00,"2.40","5.00"
2001,2001-01-11 02:00:00,"2.20","4.00"
2001,2001-02-15 19:00:00,"2.30","8.00"
2001,2001-03-04 18:00:00,"2.90","7.00"
2001,2001-11-06 04:00:00,"2.40","4.00"
2001,2001-12-29 19:00:00,"2.70","8.00"
2002,2002-01-07 14:00:00,"2.60","7.00"
2002,2002-02-17 17:00:00,"2.40","5.00"
2002,2002-03-06 16:00:00,"2.40","7.00"
2002,2002-03-22 18:00:00,"2.70","6.00"
2002,2002-12-16 16:00:00,"2.40","2.00"
2003,2003-01-04 19:00:00,"2.20","5.00"
2003,2003-01-27 23:00:00,"2.90","6.00"
2003,2003-03-03 15:00:00,"2.30","5.00"
2003,2003-10-28 18:00:00,"2.30","6.00"
2003,2003-12-19 21:00:00,"2.30","5.00"
2004,2004-01-12 20:00:00,"3.60","8.00"
2004,2004-02-05 03:00:00,"2.80","7.00"
2004,2004-02-07 01:00:00,"2.40","7.00"
2004,2004-11-26 16:00:00,"3.50","8.00"
2004,2004-12-05 09:00:00,"2.50","7.00"
2005,2005-01-30 05:00:00,"2.70","5.00"
2005,2005-02-01 06:00:00,"2.50","6.00"
2005,2005-02-23 02:00:00,"2.70","6.00"
2005,2005-11-28 19:00:00,"2.70","7.00"
2005,2005-12-17 18:00:00,"2.70","7.00"
2006,2006-02-07 23:00:00,"3.00","7.00"
2006,2006-03-28 16:00:00,"2.80","5.00"
2006,2006-04-20 07:00:00,"3.30","6.00"
2006,2006-10-23 05:00:00,"2.50","5.00"
2006,2006-12-17 11:00:00,"2.60","4.00"
2007,2007-01-06 18:00:00,"3.20","9.00"
2007,2007-02-14 14:00:00,"2.80","6.00"
2007,2007-03-05 06:00:00,"3.60","9.00"
2007,2007-11-20 01:00:00,"3.10","8.00"
2007,2007-12-07 04:00:00,"2.90","7.00"
2008,2008-01-30 08:00:00,"2.40","7.00"
2008,2008-10-24 03:00:00,"2.60","9.10"
2008,2008-11-20 19:00:00,"2.50","6.40"
2008,2008-11-29 17:00:00,"2.70","6.40"
2008,2008-12-30,"2.40","8.00"
2009,2009-01-24 21:00:00,"3.00","8.00"
2009,2009-10-19 08:00:00,"2.80","8.00"
2009,2009-12-05 10:00:00,"3.20","8.00"
2009,2009-12-25 21:00:00,"3.00","7.10"
2009,2009-12-30 13:00:00,"2.70","7.10"
2010,2010-04-27 16:00:00,"3.10","8.00"
2010,2010-09-02 07:00:00,"3.80","6.40"
2010,2010-10-25 18:00:00,"2.80","6.40"
2010,2010-11-08 19:00:00,"2.80","6.40"
2010,2010-11-27 18:00:00,"3.10","6.40"
2011,2011-01-15 16:00:00,"2.30","7.10"
2011,2011-08-08 11:00:00,"3.90","10.70"
2011,2011-10-16 03:00:00,"2.40","6.40"
2011,2011-11-19 19:00:00,"2.50","5.80"
2011,2011-11-23 13:00:00,"3.30","7.10"
2012,2012-04-03 11:00:00,"3.00","6.40"
2012,2012-08-28 16:00:00,"4.60","10.70"
2012,2012-11-12 04:00:00,"3.60","7.10"
2012,2012-12-03 21:00:00,"3.50","9.10"
2012,2012-12-05 22:00:00,"3.10","8.00"
2013,2013-01-02 04:00:00,"2.30","5.80"
2013,2013-03-20 18:00:00,"2.40","6.40"
2013,2013-11-17 13:00:00,"2.50","6.00"
2013,2013-11-25 07:00:00,"3.50","7.80"
2013,2013-11-27 20:00:00,"2.80","6.40"
