"datetime","wave_height","Period","year"
1996-11-17 14:00:00,2.5,7,1996
1996-11-26 20:00:00,2.4,5,1996
1996-12-22 06:00:00,3.1,7,1996
1997-01-01 12:00:00,3.6,8,1997
1997-01-21 04:00:00,2.5,5,1997
1997-02-10 21:00:00,2.6,6,1997
1997-02-15 18:00:00,2.5,5,1997
1999-11-25 05:00:00,2.7,7,1999
1999-12-08 22:00:00,2.4,7,1999
2000-01-30 07:00:00,2.4,7,2000
2000-04-10 10:00:00,2.4,7,2000
2000-07-11 12:00:00,2.4,9,2000
2000-08-31 21:00:00,3.6,6,2000
2000-09-16 07:00:00,2.4,5,2000
2000-11-21 01:00:00,2.4,5,2000
2000-12-05 04:00:00,2.4,8,2000
2000-12-23 14:00:00,2.4,5,2000
2001-03-04 18:00:00,2.9,7,2001
2001-11-06 04:00:00,2.4,4,2001
2001-12-29 19:00:00,2.7,8,2001
2002-01-07 14:00:00,2.6,7,2002
2002-02-17 17:00:00,2.4,5,2002
2002-03-06 16:00:00,2.4,7,2002
2002-03-22 18:00:00,2.7,6,2002
2002-12-16 16:00:00,2.4,2,2002
2003-01-27 23:00:00,2.9,6,2003
2004-01-12 20:00:00,3.6,8,2004
2004-02-05 03:00:00,2.8,7,2004
2004-02-07 01:00:00,2.4,7,2004
2004-02-22 18:00:00,2.4,7,2004
2004-11-26 16:00:00,3.5,8,2004
2004-12-05 09:00:00,2.5,7,2004
2005-01-30 05:00:00,2.7,5,2005
2005-02-01 06:00:00,2.5,6,2005
2005-02-23 02:00:00,2.7,6,2005
2005-03-11 19:00:00,2.5,7,2005
2005-10-21 22:00:00,2.4,5,2005
2005-11-28 19:00:00,2.7,7,2005
2005-12-17 18:00:00,2.7,7,2005
2005-12-21 19:00:00,2.5,5,2005
2006-02-07 23:00:00,3,7,2006
2006-03-28 16:00:00,2.8,5,2006
2006-04-20 07:00:00,3.3,6,2006
2006-10-23 05:00:00,2.5,5,2006
2006-11-06 23:00:00,2.4,8,2006
2006-11-09 02:00:00,2.4,8,2006
2006-12-02 02:00:00,2.4,5,2006
2006-12-17 11:00:00,2.6,4,2006
2006-12-28 17:00:00,2.4,5,2006
2007-01-06 18:00:00,3.2,9,2007
2007-02-14 14:00:00,2.8,6,2007
2007-03-05 06:00:00,3.6,9,2007
2007-11-20 01:00:00,3.1,8,2007
2007-12-07 04:00:00,2.9,7,2007
2007-12-30 22:00:00,2.5,7,2007
2008-01-30 08:00:00,2.4,7,2008
2008-10-24 03:00:00,2.6,9.1,2008
2008-11-20 19:00:00,2.5,6.4,2008
2008-11-29 17:00:00,2.7,6.4,2008
2008-12-30,2.4,8,2008
2009-01-12 04:00:00,2.4,5.8,2009
2009-01-23 02:00:00,2.6,6.4,2009
2009-01-24 21:00:00,3,8,2009
2009-03-13 19:00:00,2.5,6.4,2009
2009-10-17 16:00:00,2.5,6.4,2009
2009-10-19 08:00:00,2.8,8,2009
2009-11-14 15:00:00,2.5,6.4,2009
2009-12-05 10:00:00,3.2,8,2009
2009-12-25 21:00:00,3,7.1,2009
2009-12-30 13:00:00,2.7,7.1,2009
2010-02-18 04:00:00,2.5,6.4,2010
2010-03-21,2.6,7.1,2010
2010-04-13 04:00:00,2.4,5.8,2010
2010-04-27 16:00:00,3.1,8,2010
2010-09-02 07:00:00,3.8,6.4,2010
2010-10-25 18:00:00,2.8,6.4,2010
2010-11-08 19:00:00,2.8,6.4,2010
2010-11-12 03:00:00,2.4,8,2010
2010-11-27 18:00:00,3.1,6.4,2010
2010-12-03 11:00:00,2.6,6.4,2010
2010-12-11 04:00:00,2.6,7.1,2010
2010-12-30 04:00:00,2.6,7.1,2010
2011-08-08 11:00:00,3.9,10.7,2011
2011-10-16 03:00:00,2.4,6.4,2011
2011-11-19 19:00:00,2.5,5.8,2011
2011-11-23 13:00:00,3.3,7.1,2011
2012-02-02 06:00:00,2.5,5.8,2012
2012-04-03 11:00:00,3,6.4,2012
2012-08-15 10:00:00,2.4,7.1,2012
2012-08-28 16:00:00,4.6,10.7,2012
2012-10-22 20:00:00,2.9,8,2012
2012-11-12 04:00:00,3.6,7.1,2012
2012-11-28 16:00:00,2.6,5.8,2012
2012-12-03 21:00:00,3.5,9.1,2012
2012-12-05 22:00:00,3.1,8,2012
2012-12-30 06:00:00,2.4,5.8,2012
2013-03-20 18:00:00,2.4,6.4,2013
2013-11-17 13:00:00,2.5,6,2013
2013-11-25 07:00:00,3.5,7.8,2013
2013-11-27 20:00:00,2.8,6.4,2013
2014-07-26 03:00:00,2.8,9.1,2014
2014-10-03 04:00:00,2.4,6.4,2014
2014-11-02 06:00:00,2.4,5.8,2014
2014-11-12 20:00:00,2.7,7.1,2014
2014-12-01 14:00:00,3,7.1,2014
2014-12-16 06:00:00,2.6,6.4,2014
2014-12-17 18:00:00,2.9,5.3,2014
2014-12-20 10:00:00,2.5,6.4,2014
2014-12-31 19:00:00,2.7,5.8,2014
2015-02-09 15:00:00,2.5,5.3,2015
2015-02-26 16:00:00,2.4,6.4,2015
2015-03-04 02:00:00,2.5,6.4,2015
2015-03-09 21:00:00,2.8,7.1,2015
2015-10-01 22:00:00,2.8,8,2015
2015-11-26 02:00:00,2.5,5.8,2015
2015-12-03 19:00:00,3.4,5.8,2015
2016-01-18 17:00:00,2.7,5.8,2016
2016-01-23 19:00:00,2.6,7.1,2016
